NON-EXHAUSTED LIST OF SONGS PLAYED AT BLACK LIVES MATTER PROTESTS (GLOBALLY),,,
,,,
COUNTRY,TITLE,ARTIST ,YEAR
Brazil,Calice,Chico Buarque,1978
Chile,"¡El pueblo unido, jamás será vencido!",Sergio Ortega,1975
,Antifa Dance,Ana Tijoux,2020
,El Derecho de Vivir en Paz,Victor Jara,1971
Cuba,Sigo Aqui,El B ft. Talib Kweli,2016
Dominican Republic,Hombre Gris,Vakero ,2016
Egypt,Irhal (Leave),Ramy Essam,2011
France,Assa,Mallaury,2019
Germany,BLM,Sugar MMFK,2021
,Respekt,Die P,2020
Ghana,Black Lives Matter,Dax,2020
,Black Lives Matter,Kelvyn Boy,2020
,Black People,Stonebwoy,2019
,Too Much,Epixode,2020
Haiti,Nanm Nan Boutey,Boukman Eksperyans,1992
Jamaica,"Get Up, Stand Up",Bob Marley ,1973
,People Like You,Gramps Morgan,2020
,Vietnam,Jimmy Cliff,1969
Japan,Harmonic Wavelength Concert,,2020
Mexico,Canción sin miedo ,Vivir Quintana ft. El Palomar,2020
Nigeria,This is Nigeria,Falz,2018
,Zombie,Fela Kuti,1977
Philippines,Ngayon ang Panahon,"RJ Mabilin (The Axel Pinpin Propaganda Machine), Jam Lorenzo (The Geeks, Mirror Masks), and Ean Aguila (Ang Bandang Shirley, Stomachine)",2020
Puerto Rico,Anacaona,Fania All Stars,1971
,Flores,Danay Suárez,2011
,La Muralla,Puya Tego,2014
,Mi Gente,Héctor Lavoe,1974
,No Es Mi Presidente,Tania Asili ,2017
,Querido FBI,Calle 13,2005
Russia,1312,"Pussy Riot, Dillom & Muerejoven",2020
South Africa,"Beware, Verwoerd! (Ndodemnyama)",Miriam Makeba,1965
,They Don't,Nasty C ft. T.I.,2020
The Netherlands,Geen Westrijd,"Akwasi, Bizzey",2020
UK,Black Boys,Bashy,2009
,My Block,Che Lingo,2020
US *,¡Somos Más Americanos!,Les Tigres del Norte,2001
,2020 Riots: How many times,Trey Songz,2020
,A Lot of Love,Chris Brown,2016
,Ain't Gonna Let Nobody Turn Me Around,Freedom Singers,1960-66 (1980)
,Almost Like Praying,Lin-Manuel Miranda ,2017
,Alright,Kendrick Lamar,2015
,American Crisis,Bob Mould (from Hüsker Dü),2020
,Baltimore,Prince,2015
,Be Free,J. Cole,2014
,Better Days,Victoria Monet ft. Ariana Grande,2018
,Bigger Picture,Lil Baby,2020
,Black Parade,Beyonce,2019
,Black Rage,Lauryn Hill,2014
,Body Cast,Dua Saleh (Sudanese-American),2020
,Chains,Usher,2015
,Dont' Shoot,"Game ft. Rick Ross, 2 Chainz, Diddy, Fabolous, Wale, DJ Khaled, Swizz Beatz, Yo Gotti, Currensy, Problem, King Pharaoh and TGT",2014
,Feelin Myself,Mac Dre,2015
,Fight the Power,Public Enemy,1989
,Freedom,Beyonce ft. Kendrick Lamar,2016
,Freeze Tag,"Terrace Martin, Kamasi Washington, Robert Glasper, 9th Wonder",2020
,FTP ,Trey Songz,2020
,Fuck the Police,N.W.A.,1988
,Get Up,T-Pain,2020
,Glory,Common ft. John Legend,2014
,Hands Up,Daye Jack (Nigerian-American) ft. Killer Mike ,2016
,Hell You Talmbout,Janelle Monae,2013
,Hella Fuckin' Trauma,Juicy J,2020
,How Many,Miguel,2016
,I am George Floyd,Lil B,2020
,I Can't Breathe,H.E.R.,2020
,Killing in the Name (Rage Against the Machine),"Machine Gun Kelly, Travis Barker",2020
,Marching on Ferguson,Tom Morello ,2014
,Moma You Can Bet!,Georgia Anne Muldrow,2020
,Mr. Officer,Tee Grizzley,2020
,No Justice No Peace,Z-Ro,2016
,Other Side of America,Meek Mill,2020
,Pig Feet,"Terrance Martin ft. Denzel Curry, Kamasi Washington, G Perico & Daylyt",2020
,Rest in Power,Black Thought,2018
,Rich Mans World,Immortal Technique (Peruvian-American),2011
,Sad News,Swizz Beatz,2016
,Sandra's Smile,Blood Orange,2016
,"Say It Loud, I'm Black & I'm Proud",James Brown,1968
,Spiritual,Jay Z,2016
,Strange Fruit,Billie Holiday,1954
,Sweeter,Leon Bridges ft. Terrance Martin,2020
,The Charade,D'Angelo and The Vanguard,2014
,The People,Jim Jones,2020
,This is America,Childish Gambino,2018
,We Shall Overcome,Charles Trindley,1901
,We're All Mexican,Emilio Estefan (Cuban-American),2015
,Wesley's Theory,"George Clinton, Kendrick Lamar, and Thundercat",2015
,XXX,Kendrick Lamar ft. U2,2017
US Indigenous ,In the River,Ray Zaragoza,2017
,Rape Me,Tanay Tagaq,2016
,,,
,,,
,,,
,,,
"* This category is purposefully problematized for the simple reason that the global outreach of media and culture from the U.S. means that the vast majority of these songs were played at protests in other parts of the globe. It has long been theorized, with evidence, (see Jones [Baraka], Blue People; von Eschen, Satchmo Blows Up the World, et al) that US culture is Black American culture without full Black participation in the economic and political benefit. ",,,
